alle;et;to;tre;fire;fem;seks
1100111120920002972302;1100111120920002972302;210011141071-000000892;3605011310400000000111;4201211310270000001214;;658818000400-000002522
1100111120940000000039;1100111120940000000039;210011141072-000000269;3605011310490000000100;4201211310290000007551;;658818000409-000005187
110011112097-002278305;110011112097-002278305;210011141079-000003285;3605011320290000000072;4201211310400000001113;;6588180004600000023847
1100111130020000000064;1100111130020000000064;2100111410940000004307;3605011320400000000091;4201211310450000000063;;6588180006000000052052
1100111130290001279387;1100111130290001279387;210011141097-000001739;3605011320490000000177;4201211310490000002040;;658818000609-000040750
1100111130400000049848;1100111130400000049848;2100111420230000033354;3605011410010000000044;420121131072-000001625;;6588180006600000150569
1100111130490000000037;1100111130490000000037;2100111420290000000885;3605011410290000000010;420121131079-000000912;;6588181001000003236590
110011113072-000000015;110011113072-000000015;2100111420400000002662;3605011410400000000047;4201211310920000000947;;658818100109-002050362
1100111130920000004765;1100111130920000004765;2100111420490000005032;3605011410490000000793;4201211310940000000061;;6588181002000000001351
110011113097-000000865;110011113097-000000865;210011142079-000000228;3605011420230000000061;420121131097-000000010;;658818100209-000000351
110011114002-000259043;110011114002-000259043;2100111420940000000653;3605011420490000000053;4201211320010000055539;;6588181003000000127827
1100111140290004403007;1100111140290004403007;210011142097-000000653;3605011710400000000997;420121132006-000020418;;658818100309-000125077
1100111140400000062946;1100111140400000062946;2100111710400000000742;3605011710490000003614;4201211320230000000234;;6588181004000000007880
1100111140450000001293;1100111140450000001293;2100111710490000000081;3605011710590000017165;4201211320290000012550;;658818100409-000000711
1100111140470000000026;1100111140470000000026;210011171079-000001616;360501171078-000005890;420121132040-000020667;;658818100509-000000044
1100111140480000000062;1100111140480000000062;210011171086-000000758;3605011710790000007308;4201211320450000015265;;6588181006000000278591
1100111140490000148839;1100111140490000148839;210011172079-000000118;3605011720590000036970;4201211320490000226913;;658818100609-000070805
1100111140520000004566;1100111140520000004566;2100111730940000006499;360501172079-000056249;420121132072-000006682;;658818200200-000006356
110011114072-000025563;110011114072-000025563;210011173097-000001205;360501172081-000000518;420121132079-000022397;;658818200209-000016945
110011114077-000033634;110011114077-000033634;210011179000-000000161;3605011790060000000040;420121132092-000001652;;6588182004000000097427
110011114078-000000091;110011114078-000000091;2100111790010000000234;3605011790400000014690;4201211320940000006363;;658818200409-000011557
110011114079-000000407;110011114079-000000407;2100111790060000000201;3605011790490000000071;420121132097-000008870;;6588280001000001119815
1100111140920000000147;1100111140920000000147;2100111790290000002283;3605011790590000044804;420121141000-000000851;;658828000109-000753328
1100111140940000000570;1100111140940000000570;210011179040-000006104;360501179072-000006578;4201211410010000031603;;6588280001600000346844
110011114097-000000712;110011114097-000000712;2100111790490000000424;360501179076-000000300;420121141005-000006408;;6588280002000000018080
1100111150290000037705;1100111150290000037705;2100111790520000000798;360501179077-000000837;4201211410290000000811;;658828000209-000009848
1100111150400000094326;1100111150400000094326;2100111790590000000132;360501179079-000011879;4201211410400000019900;;6588280002600000004795
