alle;et;to;tre;fire;fem;seks
1503311320010000024828;1503311320010000024828;;;;;
1503311320230000000064;1503311320230000000064;;;;;
1503311320290000000280;1503311320290000000280;;;;;
1503311320400000037007;1503311320400000037007;;;;;
1503311320450000003837;1503311320450000003837;;;;;
1503311320490000098160;1503311320490000098160;;;;;
150331132072-000000661;150331132072-000000661;;;;;
150331132079-000094079;150331132079-000094079;;;;;
150331132094-000006508;150331132094-000006508;;;;;
1503311410290000000078;1503311410290000000078;;;;;
1503311410400000002672;1503311410400000002672;;;;;
1503311410450000001066;1503311410450000001066;;;;;
1503311410490000000176;1503311410490000000176;;;;;
1503311410940000000538;1503311410940000000538;;;;;
1503311420230000002306;1503311420230000002306;;;;;
1503311420490000000028;1503311420490000000028;;;;;
1503311710400000019800;1503311710400000019800;;;;;
1503311730940000000267;1503311730940000000267;;;;;
150331173097-000008686;150331173097-000008686;;;;;
1503311790290000000001;1503311790290000000001;;;;;
1503311790400000003554;1503311790400000003554;;;;;
150331179078-000000048;150331179078-000000048;;;;;
150331179079-000000108;150331179079-000000108;;;;;
1503311830470000000248;1503311830470000000248;;;;;
150331381078-000000122;150331381078-000000122;;;;;
1503314010400000000004;1503314010400000000004;;;;;
1503411010030000002131;1503411010030000002131;;;;;
1503411010070000003174;1503411010070000003174;;;;;
1503411010100001018384;1503411010100001018384;;;;;
1503411010220000002631;1503411010220000002631;;;;;
1503411010290000002091;1503411010290000002091;;;;;
150341101040-000001789;150341101040-000001789;;;;;
1503411010470000000044;1503411010470000000044;;;;;
1503411010490000002685;1503411010490000002685;;;;;
150341101072-000000558;150341101072-000000558;;;;;
150341101079-000001971;150341101079-000001971;;;;;
1503411010910000000397;1503411010910000000397;;;;;
1503411010940000000071;1503411010940000000071;;;;;
150341101097-000012924;150341101097-000012924;;;;;
1503411015100000000278;1503411015100000000278;;;;;
1503411016070000000007;1503411016070000000007;;;;;
1503411016100000000055;1503411016100000000055;;;;;
1503411020220000000841;1503411020220000000841;;;;;
1503411020290000000552;1503411020290000000552;;;;;
1503411020400000009480;1503411020400000009480;;;;;
1503411020490000006015;1503411020490000006015;;;;;
150341102072-000000338;150341102072-000000338;;;;;
150341102079-000000012;150341102079-000000012;;;;;
1503411020920000000001;1503411020920000000001;;;;;
1503411020940000000190;1503411020940000000190;;;;;
150341102097-000000018;150341102097-000000018;;;;;
1503411030520000000518;1503411030520000000518;;;;;
1503411030940000000284;1503411030940000000284;;;;;
1503411110220000001529;1503411110220000001529;;;;;
1503411110290000006561;1503411110290000006561;;;;;
1503411110400000004742;1503411110400000004742;;;;;
1503411110480000000252;1503411110480000000252;;;;;
1503411110490000042392;1503411110490000042392;;;;;
1503411110520000000132;1503411110520000000132;;;;;
150341111072-000000555;150341111072-000000555;;;;;
150341111078-000000005;150341111078-000000005;;;;;
150341111079-000007583;150341111079-000007583;;;;;
1503411110920000000122;1503411110920000000122;;;;;
1503411110940000002689;1503411110940000002689;;;;;
150341111097-000000011;150341111097-000000011;;;;;
1503411310010000006981;1503411310010000006981;;;;;
1503411310080000001311;1503411310080000001311;;;;;
1503411310290000015006;1503411310290000015006;;;;;
1503411310400000045466;1503411310400000045466;;;;;
1503411310920000000455;1503411310920000000455;;;;;
150341131097-000000006;150341131097-000000006;;;;;
1503411320230000000013;1503411320230000000013;;;;;
1503411320290000000080;1503411320290000000080;;;;;
1503411320400000000463;1503411320400000000463;;;;;
1503411320450000000990;1503411320450000000990;;;;;
1503411320490000001006;1503411320490000001006;;;;;
1503411320940000000043;1503411320940000000043;;;;;
150341132097-000000012;150341132097-000000012;;;;;
1503411410010000020201;1503411410010000020201;;;;;
1503411410290000000159;1503411410290000000159;;;;;
1503411410400000002495;1503411410400000002495;;;;;
1503411410450000003987;1503411410450000003987;;;;;
1503411410490000005250;1503411410490000005250;;;;;
150341141071-000001377;150341141071-000001377;;;;;
150341141077-000000005;150341141077-000000005;;;;;
150341141079-000001377;150341141079-000001377;;;;;
1503411420230000002476;1503411420230000002476;;;;;
1503411420400000000372;1503411420400000000372;;;;;
1503411710400000037511;1503411710400000037511;;;;;
1503411710490000000001;1503411710490000000001;;;;;
150341171079-000007413;150341171079-000007413;;;;;
1503411730940000522157;1503411730940000522157;;;;;
1503411790290000001384;1503411790290000001384;;;;;
1503411790400000012226;1503411790400000012226;;;;;
1503411790520000000020;1503411790520000000020;;;;;
150341179072-000003424;150341179072-000003424;;;;;
150341179079-000003188;150341179079-000003188;;;;;
1503411790940000000070;1503411790940000000070;;;;;
150341179097-000000510;150341179097-000000510;;;;;
150341181078-000008206;150341181078-000008206;;;;;
1503411820400000000033;1503411820400000000033;;;;;
1503413010400000000001;1503413010400000000001;;;;;
1503413020400000000026;1503413020400000000026;;;;;
1503413020480000000105;1503413020480000000105;;;;;
1503414010400000000294;1503414010400000000294;;;;;
1503414110400000001331;1503414110400000001331;;;;;
150343104079-000015000;150343104079-000015000;;;;;
1503431050000000002278;1503431050000000002278;;;;;
1503431050270000000255;1503431050270000000255;;;;;
1503431050290000000732;1503431050290000000732;;;;;
1503431050400000000396;1503431050400000000396;;;;;
1503431050450000000774;1503431050450000000774;;;;;
1503511010030000000960;1503511010030000000960;;;;;
1503511010070000008713;1503511010070000008713;;;;;
1503511010100000244657;1503511010100000244657;;;;;
1503511010220000000600;1503511010220000000600;;;;;
1503511010290000000480;1503511010290000000480;;;;;
1503511010400000005796;1503511010400000005796;;;;;
1503511010490000002529;1503511010490000002529;;;;;
150351101072-000000471;150351101072-000000471;;;;;
150351101079-000000034;150351101079-000000034;;;;;
150351101091-000002066;150351101091-000002066;;;;;
1503511010940000000115;1503511010940000000115;;;;;
150351101097-000000585;150351101097-000000585;;;;;
1503511020220000000110;1503511020220000000110;;;;;
1503511020290000001204;1503511020290000001204;;;;;
1503511020400000001526;1503511020400000001526;;;;;
1503511020490000001907;1503511020490000001907;;;;;
150351102072-000000048;150351102072-000000048;;;;;
1503511020940000000244;1503511020940000000244;;;;;
150351102097-000000623;150351102097-000000623;;;;;
1503511030400000000337;1503511030400000000337;;;;;
1503511030520000000098;1503511030520000000098;;;;;
1503511110220000000447;1503511110220000000447;;;;;
1503511110290000001702;1503511110290000001702;;;;;
1503511110400000000343;1503511110400000000343;;;;;
1503511110490000002769;1503511110490000002769;;;;;
150351111072-000000950;150351111072-000000950;;;;;
150351111079-000000682;150351111079-000000682;;;;;
1503511110920000000039;1503511110920000000039;;;;;
1503511110940000000742;1503511110940000000742;;;;;
1503511310010000000044;1503511310010000000044;;;;;
1503511310080000000008;1503511310080000000008;;;;;
1503511310290000007801;1503511310290000007801;;;;;
1503511310400000000432;1503511310400000000432;;;;;
1503511310920000000025;1503511310920000000025;;;;;
1503511320290000000088;1503511320290000000088;;;;;
150351132040-000000002;150351132040-000000002;;;;;
1503511320450000000274;1503511320450000000274;;;;;
1503511320490000000293;1503511320490000000293;;;;;
1503511320940000000041;1503511320940000000041;;;;;
1503511410010000000115;1503511410010000000115;;;;;
1503511410290000000149;1503511410290000000149;;;;;
1503511410400000000255;1503511410400000000255;;;;;
1503511410450000001282;1503511410450000001282;;;;;
1503511410490000005628;1503511410490000005628;;;;;
150351141071-000000019;150351141071-000000019;;;;;
150351141094-000000052;150351141094-000000052;;;;;
1503511420230000000319;1503511420230000000319;;;;;
1503511420490000000022;1503511420490000000022;;;;;
1503511710400000001001;1503511710400000001001;;;;;
150351171079-000000430;150351171079-000000430;;;;;
1503511730940000093511;1503511730940000093511;;;;;
1503511790290000000177;1503511790290000000177;;;;;
1503511790400000012483;1503511790400000012483;;;;;
1503511790520000000017;1503511790520000000017;;;;;
150351179072-000000346;150351179072-000000346;;;;;
150351179076-000001104;150351179076-000001104;;;;;
150351179077-000000300;150351179077-000000300;;;;;
150351179079-000010455;150351179079-000010455;;;;;
1503511790970000000054;1503511790970000000054;;;;;
150351181078-000000017;150351181078-000000017;;;;;
150351182079-000000006;150351182079-000000006;;;;;
150351184076-000000084;150351184076-000000084;;;;;
1503514010400000000478;1503514010400000000478;;;;;
1503514110400000000287;1503514110400000000287;;;;;
1503611010030000000793;1503611010030000000793;;;;;
1503611010060000000004;1503611010060000000004;;;;;
1503611010070000008212;1503611010070000008212;;;;;
1503611010100000591548;1503611010100000591548;;;;;
1503611010220000000920;1503611010220000000920;;;;;
1503611010290000000105;1503611010290000000105;;;;;
1503611010400000057535;1503611010400000057535;;;;;
1503611010490000013274;1503611010490000013274;;;;;
1503611010520000000070;1503611010520000000070;;;;;
150361101072-000002133;150361101072-000002133;;;;;
150361101079-000071046;150361101079-000071046;;;;;
150361101091-000000084;150361101091-000000084;;;;;
1503611010940000002358;1503611010940000002358;;;;;
150361101097-000020962;150361101097-000020962;;;;;
1503611016490000000026;1503611016490000000026;;;;;
1503611020220000000020;1503611020220000000020;;;;;
1503611020290000000102;1503611020290000000102;;;;;
150361102040-000000383;150361102040-000000383;;;;;
1503611020490000005873;1503611020490000005873;;;;;
150361102072-000000052;150361102072-000000052;;;;;
150361102079-000000001;150361102079-000000001;;;;;
1503611020940000000103;1503611020940000000103;;;;;
1503611110220000000064;1503611110220000000064;;;;;
1503611110290000000861;1503611110290000000861;;;;;
1503611110400000017481;1503611110400000017481;;;;;
1503611110480000000283;1503611110480000000283;;;;;
1503611110490000310775;1503611110490000310775;;;;;
150361111072-000000020;150361111072-000000020;;;;;
150361111078-000000962;150361111078-000000962;;;;;
150361111079-000015444;150361111079-000015444;;;;;
1503611110940000001742;1503611110940000001742;;;;;
150361111097-000000043;150361111097-000000043;;;;;
1503611310000000016510;1503611310000000016510;;;;;
1503611310010000273723;1503611310010000273723;;;;;
1503611310270000003009;1503611310270000003009;;;;;
1503611310290000071214;1503611310290000071214;;;;;
1503611310400000000555;1503611310400000000555;;;;;
1503611310490000060427;1503611310490000060427;;;;;
150361131072-000000595;150361131072-000000595;;;;;
150361131079-000000068;150361131079-000000068;;;;;
1503611310920000004822;1503611310920000004822;;;;;
1503611310940000000242;1503611310940000000242;;;;;
1503611320010000015764;1503611320010000015764;;;;;
1503611320290000002883;1503611320290000002883;;;;;
1503611320400000278451;1503611320400000278451;;;;;
1503611320450000263715;1503611320450000263715;;;;;
1503611320470000000015;1503611320470000000015;;;;;
1503611320480000000489;1503611320480000000489;;;;;
1503611320490000550538;1503611320490000550538;;;;;
150361132072-000048187;150361132072-000048187;;;;;
150361132078-000000377;150361132078-000000377;;;;;
150361132079-000000973;150361132079-000000973;;;;;
1503611320910000003003;1503611320910000003003;;;;;
1503611320940000013256;1503611320940000013256;;;;;
150361132097-000009769;150361132097-000009769;;;;;
150361141000-000003009;150361141000-000003009;;;;;
1503611410010000002235;1503611410010000002235;;;;;
150361141006-000008378;150361141006-000008378;;;;;
1503611410290000000016;1503611410290000000016;;;;;
1503611410400000000798;1503611410400000000798;;;;;
1503611410450000004494;1503611410450000004494;;;;;
1503611410490000000200;1503611410490000000200;;;;;
1503611410940000000210;1503611410940000000210;;;;;
1503611710400000002638;1503611710400000002638;;;;;
1503611730940000246225;1503611730940000246225;;;;;
150361173097-000020926;150361173097-000020926;;;;;
1503611790400000002835;1503611790400000002835;;;;;
150361179072-000000021;150361179072-000000021;;;;;
150361179077-000000206;150361179077-000000206;;;;;
150361179078-000001158;150361179078-000001158;;;;;
150361179079-000004098;150361179079-000004098;;;;;
1503611790920000000053;1503611790920000000053;;;;;
1503611790940000000070;1503611790940000000070;;;;;
150361179097-000000272;150361179097-000000272;;;;;
1503611810480000000066;1503611810480000000066;;;;;
150361181078-000000605;150361181078-000000605;;;;;
1503613810480000000542;1503613810480000000542;;;;;
150361381078-000012679;150361381078-000012679;;;;;
1503614010400000000008;1503614010400000000008;;;;;
1503614020400000000018;1503614020400000000018;;;;;
1503631040400000000060;1503631040400000000060;;;;;
1503631040450000001154;1503631040450000001154;;;;;
1503631040490000001379;1503631040490000001379;;;;;
1503631050000000069371;1503631050000000069371;;;;;
1503631050220000000009;1503631050220000000009;;;;;
1503631050270000011390;1503631050270000011390;;;;;
1503631050290000001364;1503631050290000001364;;;;;
1503631050400000044664;1503631050400000044664;;;;;
1503631050450000026075;1503631050450000026075;;;;;
1503631050470000000038;1503631050470000000038;;;;;
1503631050490000025352;1503631050490000025352;;;;;
1503631050920000000095;1503631050920000000095;;;;;
1503631050940000001084;1503631050940000001084;;;;;
150363199900-000000431;150363199900-000000431;;;;;
1503711010100000000125;1503711010100000000125;;;;;
1503711010400000006802;1503711010400000006802;;;;;
150371101072-000000025;150371101072-000000025;;;;;
150371111040-000007810;150371111040-000007810;;;;;
1503711110480000000049;1503711110480000000049;;;;;
1503711110490000004997;1503711110490000004997;;;;;
1503711110940000000055;1503711110940000000055;;;;;
1503711310290000000037;1503711310290000000037;;;;;
150371131092-000000002;150371131092-000000002;;;;;
1503711320400000041871;1503711320400000041871;;;;;
1503711730940000049230;1503711730940000049230;;;;;
1604110010060000000002;1604110010060000000002;;;;;
1604110010070000000005;1604110010070000000005;;;;;
1604110010100000000456;1604110010100000000456;;;;;
1604110020220000000002;1604110020220000000002;;;;;
1604110020290000000009;1604110020290000000009;;;;;
1604110020400000000014;1604110020400000000014;;;;;
1604110020490000000425;1604110020490000000425;;;;;
1604110020770000000420;1604110020770000000420;;;;;
160411002079-000006643;160411002079-000006643;;;;;
1604110110400000001765;1604110110400000001765;;;;;
1604110110490000000399;1604110110490000000399;;;;;
160411011072-000001771;160411011072-000001771;;;;;
1604110110940000000712;1604110110940000000712;;;;;
160411011097-000004489;160411011097-000004489;;;;;
1604110310290000000197;1604110310290000000197;;;;;
1604110310450000000008;1604110310450000000008;;;;;
1604110310490000000068;1604110310490000000068;;;;;
160411032040-000004453;160411032040-000004453;;;;;
1604110320490000004453;1604110320490000004453;;;;;
1604110410010000004146;1604110410010000004146;;;;;
1604110410230000000005;1604110410230000000005;;;;;
1604110410290000000858;1604110410290000000858;;;;;
1604110410400000012798;1604110410400000012798;;;;;
1604110410450000004136;1604110410450000004136;;;;;
1604110410490000002137;1604110410490000002137;;;;;
160411041071-000014028;160411041071-000014028;;;;;
160411041072-000003411;160411041072-000003411;;;;;
160411041079-000004794;160411041079-000004794;;;;;
1604110410940000002726;1604110410940000002726;;;;;
160411041097-000001549;160411041097-000001549;;;;;
1604110420230000004880;1604110420230000004880;;;;;
1604110420400000000293;1604110420400000000293;;;;;
1604110420490000001815;1604110420490000001815;;;;;
1604110840460000013226;1604110840460000013226;;;;;
1604111010100000000349;1604111010100000000349;;;;;
1604111010400000000296;1604111010400000000296;;;;;
1604111010490000000488;1604111010490000000488;;;;;
1604111010940000000159;1604111010940000000159;;;;;
1604111110290000000593;1604111110290000000593;;;;;
1604111110400000058463;1604111110400000058463;;;;;
1604111110480000000115;1604111110480000000115;;;;;
1604111110490000001176;1604111110490000001176;;;;;
1604111110920000000013;1604111110920000000013;;;;;
1604111310290000000066;1604111310290000000066;;;;;
160411131040-000000176;160411131040-000000176;;;;;
160411131072-000000010;160411131072-000000010;;;;;
160411131079-000000029;160411131079-000000029;;;;;
1604111320290000000009;1604111320290000000009;;;;;
1604111320450000000007;1604111320450000000007;;;;;
1604111320470000000100;1604111320470000000100;;;;;
1604111320490000000160;1604111320490000000160;;;;;
160411141000-000004707;160411141000-000004707;;;;;
1604111410010000000246;1604111410010000000246;;;;;
1604111410400000002092;1604111410400000002092;;;;;
1604111410450000000002;1604111410450000000002;;;;;
1604111410470000000008;1604111410470000000008;;;;;
1604111410490000000142;1604111410490000000142;;;;;
160411141071-000000328;160411141071-000000328;;;;;
1604111410770000000004;1604111410770000000004;;;;;
160411141079-000000078;160411141079-000000078;;;;;
1604111410940000000002;1604111410940000000002;;;;;
1604111420230000000031;1604111420230000000031;;;;;
1604111420290000000005;1604111420290000000005;;;;;
1604111420400000000070;1604111420400000000070;;;;;
160411142071-000000029;160411142071-000000029;;;;;
160411171040-000002716;160411171040-000002716;;;;;
1604111790400000003036;1604111790400000003036;;;;;
1604111790480000001812;1604111790480000001812;;;;;
1604111790490000000524;1604111790490000000524;;;;;
1604111790520000000003;1604111790520000000003;;;;;
160411179079-000000021;160411179079-000000021;;;;;
1604111790920000000158;1604111790920000000158;;;;;
170501073005-000086199;170501073005-000086199;;;;;
1705010730910000410986;1705010730910000410986;;;;;
1705010730920000026839;1705010730920000026839;;;;;
1705010730940000740303;1705010730940000740303;;;;;
1705011730050000038094;1705011730050000038094;;;;;
170501173091-000001621;170501173091-000001621;;;;;
170501173092-000000054;170501173092-000000054;;;;;
1705011730940001887421;1705011730940001887421;;;;;
1705011730970000001689;1705011730970000001689;;;;;
170503099900-000041151;170503099900-000041151;;;;;
1705030999920000001843;1705030999920000001843;;;;;
1705030999940000037741;1705030999940000037741;;;;;
1705031999050000005274;1705031999050000005274;;;;;
170503199994-000002784;170503199994-000002784;;;;;
170503199997-000000004;170503199997-000000004;;;;;
1806010730040000000006;1806010730040000000006;;;;;
1806010730940000075378;1806010730940000075378;;;;;
180601173006-000000040;180601173006-000000040;;;;;
1806011730940000093512;1806011730940000093512;;;;;
180601173097-000007420;180601173097-000007420;;;;;
190907079086-014885022;190907079086-014885022;;;;;
190907084086-009908292;190907084086-009908292;;;;;
190907184086-051406799;190907184086-051406799;;;;;
190907384086-020729976;190907384086-020729976;;;;;
190927083385-004955754;190927083385-004955754;;;;;
190927083585-000005756;190927083585-000005756;;;;;
190927083685-000018161;190927083685-000018161;;;;;
190927083785-000011100;190927083785-000011100;;;;;
190927183385-010168403;190927183385-010168403;;;;;
190927183585-000013907;190927183585-000013907;;;;;
190927183685-000054628;190927183685-000054628;;;;;
190927183785-000025070;190927183785-000025070;;;;;
190927383385-004379570;190927383385-004379570;;;;;
190927383585-000006656;190927383585-000006656;;;;;
190927383685-000016482;190927383685-000016482;;;;;
190927383785-000022663;190927383785-000022663;;;;;
190937079086-000230556;190937079086-000230556;;;;;
190937084086-000155076;190937084086-000155076;;;;;
190937184086-000792876;190937184086-000792876;;;;;
190937384086-000321492;190937384086-000321492;;;;;
2100110010030000002799;;;;;;
2100110010060000000327;;;;;;
2100110010070000001972;;;;;;
2100110010100000587745;;;;;;
2100110010220000000139;;;;;;
2100110010290000000415;;;;;;
2100110010400000007038;;;;;;
2100110010490000007491;;;;;;
210011001072-000000134;;;;;;
2100110010770000000014;;;;;;
210011001079-000002685;;;;;;
210011001091-000006222;;;;;;
2100110010920000000004;;;;;;
2100110010940000000570;;;;;;
210011001097-000000798;;;;;;
2100110016100000000296;;;;;;
210011001677-000000153;;;;;;
2100110020220000000011;;;;;;
2100110020290000000523;;;;;;
2100110020400000003343;;;;;;
2100110020490000002685;;;;;;
210011002079-000001060;;;;;;
2100110020940000000199;;;;;;
2100110030400000000022;;;;;;
2100110030940000001815;;;;;;
2100110110010000000026;;;;;;
210011011006-000000107;;;;;;
2100110110220000006634;;;;;;
2100110110290000007903;;;;;;
2100110110400000007874;;;;;;
2100110110490000024838;;;;;;
2100110110520000000979;;;;;;
210011011072-000006636;;;;;;
210011011079-000001459;;;;;;
2100110110920000000198;;;;;;
210011011094-000000129;;;;;;
210011011097-000000283;;;;;;
2100110310290000006203;;;;;;
210011031040-000000182;;;;;;
2100110310450000000832;;;;;;
2100110310490000000344;;;;;;
210011031072-000000028;;;;;;
210011031079-000000418;;;;;;
210011031094-000000492;;;;;;
2100110320230000000756;;;;;;
2100110320290000009381;;;;;;
2100110320400000001151;;;;;;
2100110320450000001075;;;;;;
2100110320490000004440;;;;;;
210011032072-000000060;;;;;;
210011032079-000000004;;;;;;
2100110320940000001002;;;;;;
2100110410010000026119;;;;;;
2100110410290000003639;;;;;;
2100110410400000006344;;;;;;
2100110410450000003006;;;;;;
2100110410490000013056;;;;;;
210011041071-000002369;;;;;;
210011041072-000000663;;;;;;
210011041079-000000785;;;;;;
210011041094-000002340;;;;;;
210011041097-000001970;;;;;;
2100110420230000008141;;;;;;
2100110420400000000260;;;;;;
2100110420490000000671;;;;;;
210011042079-000000001;;;;;;
2100110420940000000043;;;;;;
2100110710400000000023;;;;;;
2100110710490000000017;;;;;;
2100110730940000000725;;;;;;
210011079000-000000084;;;;;;
2100110790070000000007;;;;;;
210011079010-000000208;;;;;;
2100110790290000000011;;;;;;
210011079040-000000717;;;;;;
2100110790490000000387;;;;;;
210011079071-000000038;;;;;;
210011079072-000000365;;;;;;
210011079077-000000175;;;;;;
210011079079-000001815;;;;;;
210011079089-000000423;;;;;;
2100110790940000006448;;;;;;
210011083077-000715464;;;;;;
210011084076-000032649;;;;;;
2100111010030000004881;;;;;;
2100111010050000000310;;;;;;
2100111010070000021579;;;;;;
2100111010100002480964;;;;;;
2100111010220000001329;;;;;;
2100111010290000017604;;;;;;
2100111010400000042423;;;;;;
2100111010490000068309;;;;;;
210011101072-000004962;;;;;;
210011101079-000001836;;;;;;
2100111010910000017915;;;;;;
2100111010940000028270;;;;;;
210011101097-000021860;;;;;;
2100111016070000000032;;;;;;
2100111016100000002600;;;;;;
2100111020220000001103;;;;;;
2100111020290000001027;;;;;;
2100111020400000009645;;;;;;
2100111020490000014958;;;;;;
210011102072-000008195;;;;;;
210011102077-000000003;;;;;;
210011102079-000000341;;;;;;
2100111020860000000003;;;;;;
2100111020920000000017;;;;;;
2100111020940000001596;;;;;;
210011102097-000000319;;;;;;
2100111030290000000008;;;;;;
2100111030400000008030;;;;;;
2100111030490000000004;;;;;;
2100111030520000000899;;;;;;
2100111030910000000007;;;;;;
210011103097-000000007;;;;;;
2100111110220000048882;;;;;;
2100111110230000000001;;;;;;
2100111110290000047104;;;;;;
2100111110400000029762;;;;;;
2100111110450000000123;;;;;;
2100111110490000028198;;;;;;
2100111110520000005113;;;;;;
2100111110600000000823;;;;;;
210011111072-000023525;;;;;;
210011111076-000000009;;;;;;
210011111079-000016100;;;;;;
2100111110920000000105;;;;;;
2100111110940000003237;;;;;;
210011111097-000001409;;;;;;
210011131000-000002251;;;;;;
2100111310010000012308;;;;;;
210011131008-000000001;;;;;;
2100111310230000000010;;;;;;
2100111310270000004859;;;;;;
2100111310290000033005;;;;;;
2100111310400000001213;;;;;;
2100111310450000000352;;;;;;
2100111310490000000421;;;;;;
210011131072-000000105;;;;;;
2100111310790000000180;;;;;;
2100111310920000000120;;;;;;
2100111310940000000268;;;;;;
210011131097-000000279;;;;;;
2100111320010000003267;;;;;;
210011132006-000000360;;;;;;
2100111320230000003368;;;;;;
2100111320290000006561;;;;;;
2100111320400000013440;;;;;;
2100111320450000011086;;;;;;
2100111320490000019124;;;;;;
2100111320600000000199;;;;;;
210011132072-000000012;;;;;;
210011132079-000000741;;;;;;
2100111320940000000554;;;;;;
210011132097-000000354;;;;;;
210011141000-000002181;;;;;;
2100111410010000086269;;;;;;
2100111410050000000172;;;;;;
210011141008-000001526;;;;;;
2100111410230000000014;;;;;;
2100111410290000008069;;;;;;
2100111410400000026084;;;;;;
2100111410450000042308;;;;;;
2100111410490000025604;;;;;;
2100111410600000005240;;;;;;
210011141071-000000892;;;;;;
210011141072-000000269;;;;;;
210011141079-000003285;;;;;;
2100111410940000004307;;;;;;
210011141097-000001739;;;;;;
2100111420230000033354;;;;;;
2100111420290000000885;;;;;;
2100111420400000002662;;;;;;
2100111420490000005032;;;;;;
210011142079-000000228;;;;;;
2100111420940000000653;;;;;;
210011142097-000000653;;;;;;
2100111710400000000742;;;;;;
2100111710490000000081;;;;;;
210011171079-000001616;;;;;;
210011171086-000000758;;;;;;
210011172079-000000118;;;;;;
2100111730940000006499;;;;;;
210011173097-000001205;;;;;;
210011179000-000000161;;;;;;
2100111790010000000234;;;;;;
2100111790060000000201;;;;;;
2100111790290000002283;;;;;;
210011179040-000006104;;;;;;
2100111790490000000424;;;;;;
2100111790520000000798;;;;;;
2100111790590000000132;;;;;;
210011179072-000008898;;;;;;
210011179076-000002128;;;;;;
210011179077-000000765;;;;;;
210011179078-000000585;;;;;;
210011179079-000020049;;;;;;
2100111790910000000019;;;;;;
210011179094-000002775;;;;;;
210011179097-000002890;;;;;;
2100111820220000004291;;;;;;
2100111820400000002518;;;;;;
210011182072-000007677;;;;;;
210011183077-002212891;;;;;;
210011184076-000057783;;;;;;
210011184086-000002380;;;;;;
2100112010030000000074;;;;;;
2100112010070000001793;;;;;;
2100112010100000407727;;;;;;
2100112010220000000107;;;;;;
2100112010290000000723;;;;;;
2100112010400000005886;;;;;;
2100112010450000000005;;;;;;
2100112010480000000200;;;;;;
2100112010490000001189;;;;;;
210011201072-000000043;;;;;;
210011201077-000005094;;;;;;
210011201079-000000140;;;;;;
210011201091-000000019;;;;;;
2100112010940000004902;;;;;;
210011201097-000000049;;;;;;
2100112016070000000003;;;;;;
2100112016100000000022;;;;;;
2100112020220000000063;;;;;;
2100112020290000000042;;;;;;
2100112020400000002591;;;;;;
2100112020490000001241;;;;;;
210011202072-000000050;;;;;;
2100112020940000000129;;;;;;
2100112020970000000001;;;;;;
2100112030400000000088;;;;;;
2100112030940000000031;;;;;;
2100112110220000006986;;;;;;
2100112110230000000003;;;;;;
2100112110250000000005;;;;;;
2100112110290000009005;;;;;;
2100112110400000008131;;;;;;
2100112110450000000010;;;;;;
2100112110480000000109;;;;;;
2100112110490000005355;;;;;;
2100112110520000000740;;;;;;
210011211072-000005427;;;;;;
210011211079-000003745;;;;;;
2100112110920000000189;;;;;;
2100112110940000000126;;;;;;
210011211097-000000033;;;;;;
2100112310010000002797;;;;;;
2100112310080000000034;;;;;;
2100112310230000000001;;;;;;
2100112310270000000080;;;;;;
2100112310290000003651;;;;;;
2100112310400000000108;;;;;;
2100112310490000000010;;;;;;
2100112310920000000028;;;;;;
2100112310940000000050;;;;;;
2100112320010000000343;;;;;;
210011232006-000000003;;;;;;
2100112320230000000590;;;;;;
2100112320290000001269;;;;;;
2100112320400000002817;;;;;;
2100112320450000002469;;;;;;
2100112320490000002054;;;;;;
2100112320600000000007;;;;;;
210011232079-000000318;;;;;;
2100112320940000000059;;;;;;
2100112320970000000069;;;;;;
2100112410010000003950;;;;;;
2100112410230000000001;;;;;;
2100112410290000001311;;;;;;
2100112410400000015581;;;;;;
2100112410450000002454;;;;;;
2100112410480000000259;;;;;;
2100112410490000005321;;;;;;
210011241071-000000274;;;;;;
210011241072-000000020;;;;;;
210011241079-000000225;;;;;;
2100112410940000000378;;;;;;
2100112420230000006719;;;;;;
2100112420290000000164;;;;;;
2100112420400000001036;;;;;;
2100112420470000000033;;;;;;
2100112420480000000047;;;;;;
2100112420490000001081;;;;;;
210011242079-000000148;;;;;;
2100112420940000000610;;;;;;
2100112710400000000023;;;;;;
210011271079-000000167;;;;;;
210011272059-000000167;;;;;;
2100112730920000000030;;;;;;
210011273097-000003368;;;;;;
2100112790010000000113;;;;;;
2100112790290000000377;;;;;;
2100112790400000000519;;;;;;
2100112790480000000237;;;;;;
2100112790600000000078;;;;;;
210011279078-000000401;;;;;;
210011279079-000000171;;;;;;
2100112790940000001909;;;;;;
210011279097-000001909;;;;;;
210011281078-000000803;;;;;;
2100112820220000005122;;;;;;
2100112820400000000559;;;;;;
210011282072-000006079;;;;;;
210011283077-000533595;;;;;;
210011284076-000000920;;;;;;
2100113810480000000244;;;;;;
210011383077-000682426;;;;;;
210011384076-000019182;;;;;;
2100114010400000001193;;;;;;
2100114020400000000285;;;;;;
2100114110400000004168;;;;;;
2100114320400000000006;;;;;;
2100130030040000000009;;;;;;
2100130040220000000019;;;;;;
2100130040290000000023;;;;;;
2100130040400000000170;;;;;;
2100130040450000023353;;;;;;
2100130040470000000012;;;;;;
2100130040490000002314;;;;;;
210013004072-000003098;;;;;;
2100130040940000004671;;;;;;
210013004097-000004388;;;;;;
2100130050000000044888;;;;;;
2100130050040000000085;;;;;;
2100130050270000002429;;;;;;
2100130050290000000520;;;;;;
2100130050400000000002;;;;;;
210013005079-000000044;;;;;;
